cinnamon,80
cassia,82
clove,84
allspice,86
anise,88
star anise,90
fennel,94
liquorice,96
mahleb,98
vanilla,100
nutmeg,102
mace,106
caraway,108
dill,110
annatto,114
mastic,116
juniper,118
rose,120
coriander,122
cumin,126
nigella,128
grains of selim,130
black cardamom,132
cardamom,134
bay,136
galangal,138
dried lime,142
lemon myrtle,144
lemongrass,146
amchoor,148
anardana,150
sumac,152
tamarind,154
carob,158
barberry,160
cacao,162
paprika,164
wattle,166
sesame,168
garlic,172
asafoetida,174
curry leaf,176
mustard,178
grains of paradise,180
black pepper,184
sichuan pepper,186
ginger,188
chili,190
saffron,194
poppy,198
ajwain,200
celery seed,202
tumeric,204
fenugreek,206
